"";"municipalities$address";"lon";"lat"
"31";"Bobot, Trenčín, Slovakia";18,1912935;48,8064416
"32";"Bobrovník, Liptovský Mikuláš, Slovakia";19,4764775;49,1163854
"33";"Bodorová, Turčianske Teplice, Slovakia";18,8495451;48,9047643
"34";"Bodzianske Lúky, Komárno, Slovakia";17,8981644;47,8883572
"35";"Boheľov, Dunajská Streda, Slovakia";17,6950414;47,9195344
"36";"Bojná, Topoľčany, Slovakia";18,0589161;48,5735141
"37";"Boldog, Senec, Slovakia";17,4292646;48,2376422
"38";"Boľkovce, Lučenec, Slovakia";19,7704653;48,3370863
"39";"Borinka, Malacky, Slovakia";17,0861501;48,2623923
"40";"Borša, Trebišov, Slovakia";21,7071372;48,3953573
"41";"Bošáca, Nové Mesto nad Váhom, Slovakia";17,8382061;48,8287441
"42";"Bracovce, Michalovce, Slovakia";21,8380088;48,6445657
"43";"Bratislava - Devín, Bratislava IV, Slovakia";16,9844742;48,1737498
"44";"Bratislava - Karlova Ves, Bratislava IV, Slovakia";17,0518443;48,1591643
"45";"Bratislava - Podunajské Biskupice, Bratislava II, Slovakia";17,2107902;48,1251057
"46";"Bratislava - Staré Mesto, Bratislava I, Slovakia";17,1077475;48,148598
"47";"Braväcovo, Brezno, Slovakia";19,7498294;48,8399271
"48";"Brekov, Humenné, Slovakia";21,8359461;48,9058438
"49";"Brestovany, Trnava, Slovakia";17,6876763;48,387272
"50";"Bretka, Rožňava, Slovakia";20,3413629;48,4878345
"51";"Brezina, Trebišov, Slovakia";21,5530229;48,5494137
"52";"Breznička, Stropkov, Slovakia";21,7025246;49,2222475
"53";"Brezová pod Bradlom, Myjava, Slovakia";17,5401983;48,664999
"54";"Brezovička, Sabinov, Slovakia";20,8519263;49,1283645
"55";"Brodské, Skalica, Slovakia";17,0135069;48,6923911
"56";"Brusník, Veľký Krtíš, Slovakia";19,4018963;48,2988116
"57";"Brvnište, Považská Bystrica, Slovakia";18,4268312;49,2139346
"58";"Buclovany, Bardejov, Slovakia";21,3663395;49,1553964
"59";"Budiná, Lučenec, Slovakia";19,4786674;48,4563471
"60";"Budmerice, Pezinok, Slovakia";17,4097059;48,3561767
"61";"Bukovec, Myjava, Slovakia";17,4968634;48,6994554
"62";"Bunetice, Košice - okolie, Slovakia";21,3937953;48,8603729
"63";"Buzica, Košice - okolie, Slovakia";21,0775133;48,5345346
"64";"Bystrá, Stropkov, Slovakia";21,8194376;49,2444839
"65";"Bystrička, Martin, Slovakia";18,8787145;49,0495064
"66";"Bzenov, Prešov, Slovakia";21,1654928;48,948664
"67";"Bzovská Lehôtka, Zvolen, Slovakia";19,1307821;48,4136671
"68";"Čabiny, Medzilaborce, Slovakia";21,9007548;49,1822751
"69";"Čadca, Čadca, Slovakia";18,7897828;49,4385551
"70";"Čakanovce, Lučenec, Slovakia";19,8146795;48,2134162
"71";"Cakov, Rimavská Sobota, Slovakia";20,2255532;48,340035
"72";"Čaradice, Zlaté Moravce, Slovakia";18,5107101;48,35882
"73";"Častkovce, Nové Mesto nad Váhom, Slovakia";17,7805603;48,6892024
"74";"Čebovce, Veľký Krtíš, Slovakia";19,229916;48,1790228
"75";"Čechynce, Nitra, Slovakia";18,1605323;48,2565734
"76";"Čeľadince, Topoľčany, Slovakia";18,1707636;48,5125845
"77";"Čelovce, Prešov, Slovakia";21,4031686;49,0788749
"78";"Čerenčany, Rimavská Sobota, Slovakia";19,9868587;48,4079946
"79";"Černík, Nové Zámky, Slovakia";18,2230926;48,1548154
"80";"Cerová, Senica, Slovakia";17,3788379;48,5861674
"81";"Červeňany, Veľký Krtíš, Slovakia";19,3885481;48,3810229
"82";"Červený Hrádok, Zlaté Moravce, Slovakia";18,3860464;48,3015898
"83";"Cestice, Košice - okolie, Slovakia";21,1017416;48,5928647
"84";"Chlmec, Humenné, Slovakia";21,9376244;48,8872641
"85";"Chmeľovec, Prešov, Slovakia";21,3675325;49,0833721
"86";"Choča, Zlaté Moravce, Slovakia";18,3227748;48,3564166
"87";"Chorváty, Košice - okolie, Slovakia";20,8732794;48,566258
"88";"Chrámec, Rimavská Sobota, Slovakia";20,1851303;48,2777343
"89";"Chrenovec - Brusno, Prievidza, Slovakia";18,7260783;48,774939
"90";"Chudá Lehota, Bánovce nad Bebravou, Slovakia";18,1971661;48,6470146
"91";"Chynorany, Partizánske, Slovakia";18,274367;48,6098224
"92";"Čičmany, Žilina, Slovakia";18,515946;48,9550537
"93";"Čierna Lehota, Rožňava, Slovakia";20,2516061;48,7227853
"94";"Čierne Kľačany, Zlaté Moravce, Slovakia";18,4178402;48,3516567
"95";"Čierny Brod, Galanta, Slovakia";17,6599301;48,150117
"96";"Cigeľ, Prievidza, Slovakia";18,6404351;48,7146193
"97";"Cimenná, Bánovce nad Bebravou, Slovakia";18,1436115;48,7272342
"98";"Číž, Rimavská Sobota, Slovakia";20,2788733;48,3133152
"99";"Čučma, Rožňava, Slovakia";20,5389916;48,6912898
"100";"Daletice, Sabinov, Slovakia";21,0623351;49,0401977
"101";"Dargov, Trebišov, Slovakia";21,5848137;48,7314093
"102";"Dedačov, Humenné, Slovakia";21,9744985;49,0336644
"103";"Dekýš, Banská Štiavnica, Slovakia";18,8155003;48,3967506
"104";"Detrík, Vranov nad Topľou, Slovakia";21,6216483;49,0432893
"105";"Devičie, Krupina, Slovakia";19,0254153;48,3081061
"106";"Diviacka Nová Ves, Prievidza, Slovakia";18,4972566;48,7495961
"107";"Divinka, Žilina, Slovakia";18,6974811;49,2533382
"108";"Dlhá nad Váhom, Šaľa, Slovakia";17,8606092;48,1702512
"109";"Dlhé Pole, Žilina, Slovakia";18,6300082;49,3033226
"110";"Dobrá, Trebišov, Slovakia";22,0273971;48,4119824
"111";"Dobrohošť, Dunajská Streda, Slovakia";17,3612942;47,981421
"112";"Dojč, Senica, Slovakia";17,2573324;48,6764874
"113";"Dolná Breznica, Púchov, Slovakia";18,2617149;49,0808859
"114";"Dolná Mičiná, Banská Bystrica, Slovakia";19,221089;48,6728405
"115";"Dolná Strehová, Veľký Krtíš, Slovakia";19,4890407;48,2491547
"116";"Dolná Ves, Žiar nad Hronom, Slovakia";18,9130804;48,6656626
"117";"Dolné Lefantovce, Nitra, Slovakia";18,121488;48,4242448
"118";"Dolné Obdokovce, Nitra, Slovakia";18,2091356;48,3137902
"119";"Dolné Saliby, Galanta, Slovakia";17,7799244;48,1092916
"120";"Dolné Trhovište, Hlohovec, Slovakia";17,9030278;48,4426934
"121";"Dolný Badín, Krupina, Slovakia";19,066898;48,2694902
"122";"Dolný Hričov, Žilina, Slovakia";18,6308033;49,2297665
"123";"Dolný Lopašov, Piešťany, Slovakia";17,6423912;48,5771553
"124";"Dolný Vadičov, Kysucké Nové Mesto, Slovakia";18,8456519;49,2698724
"125";"Domaňovce, Levoča, Slovakia";20,6594499;48,9631904
"126";"Drahovce, Piešťany, Slovakia";17,8010703;48,5177303
"127";"Drážovce, Krupina, Slovakia";18,9068961;48,2517754
"128";"Drienovec, Košice - okolie, Slovakia";20,9521324;48,6077362
"129";"Drňa, Rimavská Sobota, Slovakia";20,1155394;48,262939
"130";"Držkovce, Revúca, Slovakia";20,23708;48,5426232
"131";"Dubnička, Bánovce nad Bebravou, Slovakia";18,3059653;48,7692719
"132";"Dubová, Pezinok, Slovakia";17,3413696;48,3677353
"133";"Dubové, Turčianske Teplice, Slovakia";18,7943751;48,8568055
"134";"Dúbrava, Liptovský Mikuláš, Slovakia";19,4996606;49,0384889
"135";"Dúbravka, Michalovce, Slovakia";21,8918585;48,6382991
"136";"Dukovce, Svidník, Slovakia";21,418038;49,1215493
"137";"Dulovo, Rimavská Sobota, Slovakia";20,1898164;48,3737106
"138";"Dunajský Klátov, Dunajská Streda, Slovakia";17,6918347;48,0351529
"139";"Ďurďošík, Košice - okolie, Slovakia";21,4153122;48,7421193
"140";"Ďurkovce, Veľký Krtíš, Slovakia";19,1785684;48,1381045
"141";"Dvorníky, Hlohovec, Slovakia";17,7969033;48,3559471
"142";"Fačkov, Žilina, Slovakia";18,6011053;49,0115346
"143";"Figa, Rimavská Sobota, Slovakia";20,2535943;48,3966148
"144";"Fintice, Prešov, Slovakia";21,283921;49,0535041
"145";"Fričkovce, Bardejov, Slovakia";21,2390267;49,1855022
"146";"Gaboltov, Bardejov, Slovakia";21,142577;49,3649935
"147";"Gáň, Galanta, Slovakia";17,7174012;48,2320322
"148";"Gbely, Skalica, Slovakia";17,1149731;48,7183212
"149";"Gemerček, Rimavská Sobota, Slovakia";19,9934545;48,3173381
"150";"Gemerská Ves, Revúca, Slovakia";20,2727937;48,477564
"151";"Gemerský Jablonec, Rimavská Sobota, Slovakia";19,9761881;48,1944565
"152";"Gerlachov, Poprad, Slovakia";20,2065112;49,0983437
"153";"Glabušovce, Veľký Krtíš, Slovakia";19,4582224;48,1528766
"154";"Gortva, Rimavská Sobota, Slovakia";20,0249876;48,2959264
"155";"Gregorovce, Prešov, Slovakia";21,2062174;49,0687735
"156";"Habovka, Tvrdošín, Slovakia";19,6059625;49,2742925
"157";"Háj, Košice - okolie, Slovakia";20,8542317;48,6284314
"158";"Hajtovka, Stará Ľubovňa, Slovakia";20,7729971;49,296046
"159";"Haluzice, Nové Mesto nad Váhom, Slovakia";17,8657061;48,8230288
"160";"Haniska, Prešov, Slovakia";21,2415264;48,9573623
"161";"Hankovce, Humenné, Slovakia";21,9467021;49,0286105
"162";"Harichovce, Spišská Nová Ves, Slovakia";20,5816124;48,9615395
"163";"Havaj, Stropkov, Slovakia";21,785618;49,2561613
"164";"Hažín nad Cirochou, Humenné, Slovakia";21,9603342;48,930897
"165";"Henckovce, Rožňava, Slovakia";20,4331042;48,7128224
"166";"Herľany, Košice - okolie, Slovakia";21,4786659;48,7994143
"167";"Hervartov, Bardejov, Slovakia";21,2043551;49,2465247
"168";"Hlboké, Senica, Slovakia";17,4064048;48,659377
"169";"Hlivištia, Sobrance, Slovakia";22,2180756;48,8050834
"170";"Hnilec, Spišská Nová Ves, Slovakia";20,5029071;48,8434313
"171";"Hodejovec, Rimavská Sobota, Slovakia";20,0157962;48,2824104
"172";"Holčíkovce, Vranov nad Topľou, Slovakia";21,7242661;49,0172468
"173";"Holiša, Lučenec, Slovakia";19,7523109;48,3082711
"174";"Hontianske Moravce, Krupina, Slovakia";18,8513921;48,1862939
"175";"Hôrka, Poprad, Slovakia";20,395233;49,0206935
"176";"Horná Breznica, Púchov, Slovakia";18,2503847;49,1086767
"177";"Horná Lehota, Brezno, Slovakia";19,5464848;48,8383817
"178";"Horná Potôň, Dunajská Streda, Slovakia";17,4887429;48,0404941
"179";"Horná Štubňa, Turčianske Teplice, Slovakia";18,8856688;48,8221575
"180";"Horná Ždaňa, Žiar nad Hronom, Slovakia";18,7500994;48,568902
"181";"Horné Hámre, Žarnovica, Slovakia";18,6724703;48,4957145
"182";"Horné Naštice, Bánovce nad Bebravou, Slovakia";18,2962815;48,7350382
"183";"Horné Plachtince, Veľký Krtíš, Slovakia";19,2830052;48,2384541
"184";"Horné Srnie, Trenčín, Slovakia";18,1011014;48,991887
"185";"Horné Turovce, Levice, Slovakia";18,9449167;48,1249297
"186";"Horný Badín, Krupina, Slovakia";19,0753606;48,2784214
"187";"Horný Lieskov, Považská Bystrica, Slovakia";18,4333632;49,0653434
"188";"Horovce, Púchov, Slovakia";18,2567777;49,0449897
"189";"Hostie, Zlaté Moravce, Slovakia";18,4378896;48,4507181
"190";"Hosťovce, Košice - okolie, Slovakia";20,854391;48,5724454
"191";"Hrabkov, Prešov, Slovakia";21,0180541;48,9592987
"192";"Hrabovec nad Laborcom, Humenné, Slovakia";21,9391049;49,0948765
"193";"Hrachovište, Nové Mesto nad Váhom, Slovakia";17,7278069;48,7139238
"194";"Hradište, Poltár, Slovakia";19,7225497;48,4918243
"195";"Hraničné, Stará Ľubovňa, Slovakia";20,699535;49,3756753
"196";"Hrčeľ, Trebišov, Slovakia";21,687938;48,5227851
"197";"Hriňová, Detva, Slovakia";19,527121;48,5785068
"198";"Hrnčiarovce nad Parnou, Trnava, Slovakia";17,5658571;48,3437852
"199";"Hromoš, Stará Ľubovňa, Slovakia";20,7944922;49,2538636
"200";"Hronská Breznica, Zvolen, Slovakia";18,9975151;48,5690195
"201";"Hronský Beňadik, Žarnovica, Slovakia";18,5590363;48,3455825
"202";"Hrubý Šúr, Senec, Slovakia";17,4209774;48,1710706
"203";"Hrušovo, Rimavská Sobota, Slovakia";20,0497425;48,512665
"204";"Hubošovce, Sabinov, Slovakia";21,2051;49,0992915
"205";"Hudcovce, Humenné, Slovakia";21,7905822;48,9076171
"206";"Hunkovce, Svidník, Slovakia";21,6520114;49,3602837
"207";"Husiná, Rimavská Sobota, Slovakia";19,8769384;48,3410683
"208";"Hvozdnica, Bytča, Slovakia";18,4890172;49,2099551
"209";"Ihľany, Kežmarok, Slovakia";20,5371962;49,1868818
"210";"Ilija, Banská Štiavnica, Slovakia";18,8993974;48,4191843
"211";"Inovce, Sobrance, Slovakia";22,3561468;48,8220524
"212";"Istebné, Dolný Kubín, Slovakia";19,2214836;49,2115262
"213";"Ivanka pri Dunaji, Senec, Slovakia";17,2557153;48,1897372
"214";"Ižipovce, Liptovský Mikuláš, Slovakia";19,4911632;49,1404457
"215";"Jablonica, Senica, Slovakia";17,4207721;48,6067793
"216";"Jabloňovce, Levice, Slovakia";18,7873925;48,3167446
"217";"Jahodná, Dunajská Streda, Slovakia";17,7032223;48,0513899
"218";"Jakubov, Malacky, Slovakia";16,9273393;48,4130844
"219";"Jakušovce, Stropkov, Slovakia";21,7508818;49,15589
"220";"Jalšové, Hlohovec, Slovakia";17,8297078;48,5075483
"221";"Janice, Rimavská Sobota, Slovakia";20,2142076;48,2787688
"222";"Janov, Prešov, Slovakia";21,1782088;48,9386227
"223";"Jánovce, Poprad, Slovakia";20,4301496;49,0174181
"224";"Jarok, Nitra, Slovakia";17,9604137;48,2773889
"225";"Jasenov, Humenné, Slovakia";21,9010859;48,9071362
"226";"Jasenové, Žilina, Slovakia";18,6400797;49,1093638
"227";"Jasová, Nové Zámky, Slovakia";18,3993154;47,9860254
"228";"Jatov, Nové Zámky, Slovakia";18,0239525;48,1324144
"229";"Jelenec, Nitra, Slovakia";18,2285161;48,37643
"230";"Jelšovec, Lučenec, Slovakia";19,6009987;48,2821533
"231";"Ješkova Ves, Partizánske, Slovakia";18,3443461;48,5489781
"232";"Jovsa, Michalovce, Slovakia";22,0959029;48,8192469
"233";"Jurské, Kežmarok, Slovakia";20,5261264;49,2026763
"234";"Kaľamenová, Turčianske Teplice, Slovakia";18,7760917;48,889537
"235";"Kalinov, Medzilaborce, Slovakia";21,9229082;49,3156829
"236";"Kálnica, Nové Mesto nad Váhom, Slovakia";17,9313829;48,7626304
"237";"Kalša, Košice - okolie, Slovakia";21,5272364;48,6130079
"238";"Kamenec pod Vtáčnikom, Prievidza, Slovakia";18,5483034;48,671386
"239";"Kameničany, Ilava, Slovakia";18,1707725;48,9920886
"240";"Kamenná Poruba, Vranov nad Topľou, Slovakia";21,651445;48,8468731
"241";"Kamienka, Stará Ľubovňa, Slovakia";20,6154292;49,3316057
"242";"Kaplna, Senec, Slovakia";17,4565916;48,2928764
"243";"Karná, Humenné, Slovakia";21,805279;48,9858383
"244";"Kazimír, Trebišov, Slovakia";21,5840978;48,5269248
"245";"Kečkovce, Svidník, Slovakia";21,5112171;49,3826988
"246";"Keť, Levice, Slovakia";18,5688153;47,9643512
"247";"Kľače, Žilina, Slovakia";18,646663;49,1071636
"248";"Klasov, Nitra, Slovakia";18,2583613;48,2771832
"249";"Kleňany, Veľký Krtíš, Slovakia";19,0720683;48,1180345
"250";"Klieština, Považská Bystrica, Slovakia";18,3570055;49,1832894
"251";"Klokoč, Detva, Slovakia";19,3389048;48,502831
"252";"Kľúčovec, Dunajská Streda, Slovakia";17,7173998;47,7951295
"253";"Kobeliarovo, Rožňava, Slovakia";20,3725283;48,7440382
"254";"Kochanovce, Bardejov, Slovakia";21,3887948;49,190202
"255";"Kočovce, Nové Mesto nad Váhom, Slovakia";17,8860174;48,7421406
"256";"Kokava nad Rimavicou, Poltár, Slovakia";19,8415156;48,5702648
"257";"Kolačno, Partizánske, Slovakia";18,4213768;48,5918188
"258";"Kolbasov, Snina, Slovakia";22,3838332;49,0054148
"259";"Kolinovce, Spišská Nová Ves, Slovakia";20,8549394;48,9278319
"260";"Komárno, Komárno, Slovakia";18,1294132;47,7625785
"261";"Komjatná, Ružomberok, Slovakia";19,2446427;49,1477792
"262";"Konská, Liptovský Mikuláš, Slovakia";19,717268;49,1189882
"263";"Kopernica, Žiar nad Hronom, Slovakia";18,8740726;48,6856625
"264";"Korejovce, Svidník, Slovakia";21,6431491;49,3782267
"265";"Korytárky, Detva, Slovakia";19,4706059;48,547324
"266";"Košarovce, Humenné, Slovakia";21,7797839;49,0411753
"267";"Košice - Dargovských hrdinov, Košice III, Slovakia";21,2771429;48,7442344
"268";"Košice - Košická Nová Ves, Košice III, Slovakia";21,2977631;48,7334389
"269";"Košice - Myslava, Košice II, Slovakia";21,2045831;48,7091002
"270";"Košice - Šaca, Košice II, Slovakia";21,1713844;48,6370535
"271";"Košice - Sídlisko Ťahanovce, Košice I, Slovakia";21,2676675;48,7539765
"272";"Košice - Západ, Košice II, Slovakia";21,2345873;48,7143063
"273";"Košický Klečenov, Košice - okolie, Slovakia";21,5047249;48,7399491
"274";"Košolná, Trnava, Slovakia";17,4635919;48,4246566
"275";"Kostoľany pod Tribečom, Zlaté Moravce, Slovakia";18,2460869;48,415221
"276";"Kostolná pri Dunaji, Senec, Slovakia";17,4354732;48,1852318
"277";"Košúty, Galanta, Slovakia";17,6594285;48,1720099
"278";"Kováčová, Zvolen, Slovakia";19,1043192;48,6017517
"279";"Koválovec, Skalica, Slovakia";17,3063236;48,7846924
"280";"Kozelník, Banská Štiavnica, Slovakia";18,9975091;48,5135303
"281";"Kračúnovce, Svidník, Slovakia";21,4875846;49,0943599
"282";"Krajná Porúbka, Svidník, Slovakia";21,6474371;49,4142324
"283";"Kráľ, Rimavská Sobota, Slovakia";20,3422327;48,3274008
"284";"Kráľová nad Váhom, Šaľa, Slovakia";17,8435819;48,1668068
"285";"Kráľovce - Krnišov, Krupina, Slovakia";18,9775161;48,3493328
"286";"Krásna Lúka, Sabinov, Slovakia";20,8245682;49,1935378
"287";"Krásno nad Kysucou, Čadca, Slovakia";18,8324337;49,3960567
"288";"Krásny Brod, Medzilaborce, Slovakia";21,8974493;49,2400976
"289";"Krčava, Sobrance, Slovakia";22,248533;48,6789872
"290";"Krišľovce, Stropkov, Slovakia";21,7225508;49,1387654
"291";"Kriváň, Detva, Slovakia";19,4453429;48,5299239
"292";"Krivosúd - Bodovka, Trenčín, Slovakia";17,9414693;48,8222909
"293";"Križovany nad Dudváhom, Trnava, Slovakia";17,6564901;48,324917
"294";"Krompachy, Spišská Nová Ves, Slovakia";20,8734034;48,9154898
"295";"Kručov, Stropkov, Slovakia";21,6072346;49,1137763
"296";"Krušovce, Topoľčany, Slovakia";18,2053303;48,5925175
"297";"Kružno, Rimavská Sobota, Slovakia";19,932667;48,4108996
"298";"Kučín, Bardejov, Slovakia";21,4553464;49,2089659
"299";"Kukučínov, Levice, Slovakia";18,6969147;48,0911999
"300";"Kuraľany, Levice, Slovakia";18,5404215;47,9805885
"301";"Kurov, Bardejov, Slovakia";21,1347281;49,3419589
"302";"Kuzmice, Topoľčany, Slovakia";18,1068856;48,5823816
"303";"Kvakovce, Vranov nad Topľou, Slovakia";21,6715968;48,9885931
"304";"Kyjov, Stará Ľubovňa, Slovakia";20,9386175;49,2171656
"305";"Kysta, Trebišov, Slovakia";21,7207642;48,5151261
"306";"Lackov, Krupina, Slovakia";19,1867905;48,3209825
"307";"Ladce, Ilava, Slovakia";18,2872784;49,0377143
"308";"Ladomirov, Snina, Slovakia";22,2972946;48,9277994
"309";"Lascov, Bardejov, Slovakia";21,4754588;49,1570792
"310";"Lastovce, Trebišov, Slovakia";21,62847;48,5393642
"311";"Lazisko, Liptovský Mikuláš, Slovakia";19,544195;49,0286386
"312";"Lednické Rovne, Púchov, Slovakia";18,2876767;49,0687794
"313";"Lehota nad Rimavicou, Rimavská Sobota, Slovakia";19,905665;48,5125949
"314";"Lekárovce, Sobrance, Slovakia";22,1551891;48,6025735
"315";"Lenartov, Bardejov, Slovakia";21,0205395;49,3100893
"316";"Lentvora, Lučenec, Slovakia";19,4507135;48,3730758
"317";"Lesné, Michalovce, Slovakia";21,815951;48,7987642
"318";"Letanovce, Spišská Nová Ves, Slovakia";20,4670197;48,9797269
"319";"Levkuška, Revúca, Slovakia";20,2641032;48,4575756
"320";"Ličartovce, Prešov, Slovakia";21,2476643;48,8750733
"321";"Lieskovec, Zvolen, Slovakia";19,1907037;48,5776347
"322";"Lietava, Žilina, Slovakia";18,6734728;49,1701524
"323";"Limbach, Pezinok, Slovakia";17,2225798;48,2884848
"324";"Lipová, Nové Zámky, Slovakia";18,1780802;48,1088832
"325";"Lipové, Komárno, Slovakia";17,8553093;47,8404768
"326";"Lipovník, Rožňava, Slovakia";20,6209341;48,6288145
"327";"Liptovská Osada, Ružomberok, Slovakia";19,2632129;48,952461
"328";"Liptovská Teplá, Ružomberok, Slovakia";19,4087257;49,1008557
"329";"Liptovské Matiašovce, Liptovský Mikuláš, Slovakia";19,5492442;49,1536198
"330";"Liptovský Ján, Liptovský Mikuláš, Slovakia";19,6788668;49,0475755
"331";"Liptovský Peter, Liptovský Mikuláš, Slovakia";19,7372793;49,0534446
"332";"Litava, Krupina, Slovakia";19,1791509;48,2990785
"333";"Livov, Bardejov, Slovakia";21,088098;49,2508236
"334";"Lokca, Námestovo, Slovakia";19,41069;49,3661789
"335";"Lomnička, Stará Ľubovňa, Slovakia";20,570042;49,2471182
"336";"Lopušné Pažite, Kysucké Nové Mesto, Slovakia";18,8294606;49,2789789
"337";"Lovčica - Trubín, Žiar nad Hronom, Slovakia";18,7929008;48,6174968
"338";"Ľubá, Nové Zámky, Slovakia";18,5945151;47,8517672
"339";"Ľubietová, Banská Bystrica, Slovakia";19,3628286;48,7464656
"340";"Ľuboreč, Lučenec, Slovakia";19,5166726;48,3100462
"341";"Ľubovec, Prešov, Slovakia";21,1746243;48,9125887
"342";"Lúčina, Prešov, Slovakia";21,4303155;48,8922168
"343";"Lúčka, Svidník, Slovakia";21,4761013;49,1021307
"344";"Lúčky, Michalovce, Slovakia";22,0451252;48,7666359
"345";"Ludrová, Ružomberok, Slovakia";19,3325898;49,0471748
"346";"Lukačovce, Humenné, Slovakia";21,7845949;49,030089
"347";"Lukovištia, Rimavská Sobota, Slovakia";20,0244112;48,4925993
"348";"Lutila, Žiar nad Hronom, Slovakia";18,841871;48,6146274
"349";"Lužany, Topoľčany, Slovakia";18,0142866;48,5154356
"350";"Lysica, Žilina, Slovakia";18,9220917;49,2444823
"351";"Madunice, Hlohovec, Slovakia";17,7798685;48,4767686
"352";"Majerovce, Vranov nad Topľou, Slovakia";21,7146109;48,8920044
"353";"Malá Čausa, Prievidza, Slovakia";18,7045539;48,8029372
"354";"Malá Hradná, Bánovce nad Bebravou, Slovakia";18,1647577;48,7598114
"355";"Malá Mača, Galanta, Slovakia";17,6399045;48,2224839
"356";"Malachov, Banská Bystrica, Slovakia";19,0886975;48,710247
"357";"Malatíny, Liptovský Mikuláš, Slovakia";19,4590946;49,0679901
"358";"Malé Chyndice, Nitra, Slovakia";18,2846141;48,3036554
"359";"Malé Kozmálovce, Levice, Slovakia";18,5118285;48,2723006
"360";"Malé Ludince, Levice, Slovakia";18,6967886;47,9862326
"361";"Malé Straciny, Veľký Krtíš, Slovakia";19,4152914;48,2082486
"362";"Malé Zálužie, Nitra, Slovakia";17,9863254;48,4359812
"363";"Malinovo, Senec, Slovakia";17,2989592;48,157745
"364";"Malý Horeš, Trebišov, Slovakia";21,9524111;48,3958045
"365";"Malý Lipník, Stará Ľubovňa, Slovakia";20,7902158;49,3279936
"366";"Malženice, Trnava, Slovakia";17,6754621;48,4505448
"367";"Margecany, Gelnica, Slovakia";21,0140176;48,8927968
"368";"Markuška, Rožňava, Slovakia";20,3270149;48,7295454
"369";"Martin nad Žitavou, Zlaté Moravce, Slovakia";18,3550054;48,3971731
"370";"Mašková, Lučenec, Slovakia";19,5636334;48,333556
"371";"Matiašovce, Kežmarok, Slovakia";20,3642785;49,3548488
"372";"Matysová, Stará Ľubovňa, Slovakia";20,7516216;49,3192903
"373";"Medzany, Prešov, Slovakia";21,1512854;49,044618
"374";"Medzibrodie nad Oravou, Dolný Kubín, Slovakia";19,3435581;49,2339095
"375";"Meliata, Rožňava, Slovakia";20,3303947;48,5156751
"376";"Mestečko, Púchov, Slovakia";18,258835;49,1759826
"377";"Michal na Ostrove, Dunajská Streda, Slovakia";17,5122134;48,0239278
"378";"Michalok, Vranov nad Topľou, Slovakia";21,6326267;48,9907511
"379";"Miezgovce, Bánovce nad Bebravou, Slovakia";18,3159487;48,7198625
"380";"Mikušovce, Ilava, Slovakia";18,2058909;49,0650416
"381";"Milpoš, Sabinov, Slovakia";21,0036966;49,1807728
"382";"Mládzovo, Poltár, Slovakia";19,7054451;48,4372642
"383";"Mlynky, Spišská Nová Ves, Slovakia";20,4295169;48,8528615
"384";"Moča, Komárno, Slovakia";18,4111936;47,7582631
"385";"Modra nad Cirochou, Humenné, Slovakia";22,0455648;48,9416546
"386";"Modrý Kameň, Veľký Krtíš, Slovakia";19,3340554;48,240549
"387";"Mojzesovo, Nové Zámky, Slovakia";18,2351938;48,1351395
"388";"Mokrý Háj, Skalica, Slovakia";17,245445;48,8118431
